,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,염창금호,A15786116,1150010100,290,19990402,개별난방,아파트
1,염창롯데캐슬,A15704015,1150010100,284,20050328,개별난방,아파트
2,염창한마음삼성,A15786118,1150010100,330,19950708,개별난방,아파트
3,염창현대1차,A15786426,1150010100,498,19940421,개별난방,아파트
4,염창강변한솔솔파크,A15704025,1150010100,455,20050923,개별난방,아파트
5,염창강변월드메르디앙,A15776001,1150010100,164,20100330,개별난방,아파트
6,염창관음삼성,A15786321,1150010100,350,19970801,개별난방,아파트
7,염창태영송화,A15786314,1150010100,277,19991111,개별난방,아파트
8,염창우성3차,A15704006,1150010100,196,19930115,개별난방,아파트
9,염창태진한솔,A15786222,1150010100,356,19941005,개별난방,아파트
10,염창신동아,A15786420,1150010100,348,19951213,개별난방,아파트
11,염창극동,A15786111,1150010100,249,20000527,개별난방,아파트
12,염창우성2차,A15786405,1150010100,186,19920520,개별난방,아파트
13,염창한화꿈에그린,A15786424,1150010100,422,20050401,개별난방,아파트
14,삼성하나로,A15786104,1150010100,178,19940222,개별난방,아파트
15,염창한강동아(2차),A15786510,1150010100,212,19980721,개별난방,아파트
16,염창동아1차,A15704028,1150010100,778,19980629,개별난방,아파트
17,염창벽산늘푸른,A15704009,1150010100,206,19981105,개별난방,아파트
18,염창극동상록수,A15786312,1150010100,256,19991027,개별난방,아파트
19,염창1차보람더하임아파트,A15704007,1150010100,202,20080110,개별난방,아파트
20,강변힐스테이트,A15704023,1150010100,417,20050628,개별난방,아파트
21,염창강변성원,A15704017,1150010100,297,20010630,개별난방,아파트
22,염창동아3차,A15786227,1150010100,570,19990118,개별난방,아파트
23,염창월드메르디앙,A15704003,1150010100,168,20040701,개별난방,아파트
24,염창 일신건영휴먼빌아파트,A15704002,1150010100,166,20041119,개별난방,아파트
25,염창2차한화꿈에그린,A15704001,1150010100,163,20060427,개별난방,아파트
26,염창무학,A15786213,1150010100,273,19990331,개별난방,아파트
27,삼정그린코아,A15786408,1150010100,206,20010531,개별난방,아파트
28,이너스내안에,A15776003,1150010100,105,20040924,개별난방,아파트
29,현대3,A15776004,1150010100,127,19961005,개별난방,아파트
30,염창우성1차,A15785919,1150010100,339,19901109,개별난방,아파트
31,e편한세상 염창,A10025600,1150010100,499,20190308,개별난방,아파트
32,태진드림피아,A15776002,1150010100,65,,,
33,강서쌍용예가아파트,A10027541,1150010100,152,20140611,개별난방,아파트
34,염창현대아이파크아파트,A10024353,1150010100,136,20050722,개별난방,
35,센터스퀘어등촌,A10024436,1150010100,500,20201230,개별난방,도시형 생활주택(주상복합)
36,염창동길훈아파트,A10025049,1150010100,115,19990930,개별난방,아파트
37,한사랑2차삼성아파트(등촌동),A15783907,1150010200,339,19990629,개별난방,아파트
38,등촌대림e편한세상,A15783703,1150010200,222,20020518,개별난방,아파트
39,등촌부영,A15703004,1150010200,712,19941207,지역난방,아파트
40,등촌주공2단지,A15703304,1150010200,505,19950605,지역난방,아파트
41,등촌미주진로,A15703303,1150010200,488,19941029,지역난방,아파트
42,등촌8단지주공아파트,A15703301,1150010200,445,19941104,지역난방,아파트
43,등촌서광,A15784008,1150010200,430,19990401,지역난방,아파트
44,등촌우성102동,A15772902,1150010200,110,19920527,개별난방,아파트
45,등촌동성,A15703302,1150010200,457,19951127,지역난방,아파트
46,등촌우성101동,A15772901,1150010200,134,19920527,개별난방,아파트
47,등촌대동황토방,A15703002,1150010200,241,20000727,개별난방,아파트
48,등촌대동황토방2차아파트,A15703005,1150010200,196,20031030,개별난방,아파트
49,등촌주공5단지,A15703309,1150010200,1045,19951010,지역난방,아파트
50,등촌대림아파트,A15703307,1150010200,680,19950713,지역난방,아파트
51,등촌주공9단지,A15776916,1150010200,1445,19941104,지역난방,아파트
52,코오롱하늘채아파트,A15703001,1150010200,200,20031119,개별난방,아파트
53,등촌태진아름,A15784402,1150010200,221,19950915,개별난방,아파트
54,등촌주공4단지,A15776414,1150010200,1575,19950520,지역난방,아파트
55,등촌3단지주공아파트,A15703308,1150010200,1016,19951010,지역난방,아파트
56,등촌라인,A15783806,1150010200,317,19971029,지역난방,아파트
57,등촌주공6단지,A15776617,1150010200,559,19951010,지역난방,아파트
58,등촌삼성한사랑,A15783905,1150010200,244,19971217,개별난방,아파트
59,등촌주공11단지,A15703318,1150010200,350,20041004,지역난방,아파트
60,등촌IPARK,A15703204,1150010200,1653,20040107,개별난방,아파트
61,등촌주공1단지,A15703313,1150010200,1670,19941104,지역난방,아파트
62,등촌태영,A15783902,1150010200,186,19980625,개별난방,아파트
63,등촌주공7단지,A15776715,1150010200,1146,19941104,지역난방,아파트
64,등촌임광,A15783701,1150010200,168,20000512,개별난방,아파트
65,등촌코오롱오투빌1차,A15784003,1150010200,191,19990614,개별난방,아파트
66,등촌주공10단지,A15703306,1150010200,566,19951010,지역난방,아파트
67,등촌현대1차(한마음),A15784201,1150010200,170,19950713,개별난방,아파트
68,삼형그레이스빌아파트,A10025703,1150010200,87,20010925,개별난방,아파트
69,아임2030(청년주택),A10024768,1150010200,285,20200501,개별난방,도시형 생활주택(주상복합)
70,엘크루발산아파트,A10023934,1150010200,252,20220110,개별난방,
71,가양역두산위브아파트,A10023543,1150010200,220,20220311,개별난방,아파트
72,우장산한화꿈에그린,A15701004,1150010300,187,20041130,개별난방,아파트
73,우장산롯데3차,A15701601,1150010300,206,20040806,개별난방,아파트
74,화곡대림아파트,A15788302,1150010300,416,19920831,개별난방,아파트
75,그랜드아이파크,A15770102,1150010300,159,20100630,개별난방,주상복합
76,화곡미성,A15788901,1150010300,228,19870502,개별난방,아파트
77,화곡푸르지오,A15792602,1150010300,2176,20021031,지역난방,아파트
78,우장산롯데캐슬,A15701602,1150010300,1164,20030906,개별난방,아파트
79,화곡초록,A15770801,1150010300,626,19981116,지역난방,아파트
80,우장산에스케이뷰,A15701002,1150010300,203,20061026,개별난방,아파트
81,우장산아이파크이편한세상,A15701003,1150010300,2517,20080108,지역난방,아파트
82,화곡중앙하이츠,A15788203,1150010300,473,19881212,개별난방,아파트
83,화곡2차보람,A15770101,1150010300,187,20041101,개별난방,아파트
84,화곡유림노르웨이숲,A15791001,1150010300,225,20040916,개별난방,주상복합
85,강서힐스테이트아파트,A15701007,1150010300,2603,20150819,지역난방,아파트
86,서광 프리메라,A10025201,1150010300,75,20060629,개별난방,아파트
87,우장산휴먼빌,A15701005,1150010300,62,,,
88,명지해드는터,A15701006,1150010300,91,20050816,개별난방,아파트
89,우장산숲 아이파크,A10023515,1150010300,576,20221201,지역난방,아파트
90,우장산역 해링턴타워,A10024145,1150010300,429,20210903,개별난방,아파트
91,태영방송인아파트,A10024391,1150010300,148,20000929,개별난방,
92,한강타운아파트,A15780604,1150010400,990,19930615,지역난방,아파트
93,가양2단지,A15780605,1150010400,1624,19921118,지역난방,아파트
94,가양6단지,A15780905,1150010400,1476,19921118,지역난방,아파트
95,가양우성,A15780002,1150010400,414,19901030,지역난방,아파트
96,가양9-1,A15781002,1150010400,914,19921118,지역난방,아파트
97,가양중앙하이츠,A15780701,1150010400,164,19990429,지역난방,아파트
98,가양5단지,A15780806,1150010400,2411,19921130,지역난방,아파트
99,가양4단지,A15780705,1150010400,1998,19921130,지역난방,아파트
100,가양일신건영휴먼빌,A15720101,1150010400,177,20041223,개별난방,아파트
101,가양대림경동,A15780703,1150010400,540,19930917,지역난방,아파트
102,가양7단지,A15774708,1150010400,1998,19920705,지역난방,아파트
103,가양강나루현대,A15780401,1150010400,642,19990326,지역난방,아파트
104,가양도시개발공사8단지(임대),A15780904,1150010400,1110,19921118,지역난방,아파트
